gender,product_category,product_name,details,category_type,combined_features
women,SKIRTS,z denim midi skirt,fade highwaist skirt feature fivepocket design vent hem button fastening,Bottom,denim denim skirt midi
women,SKIRTS,faux leather mini skirt chain,highwaist mini skirt lining metal chain link invisible zip fastening,Bottom,faux leather skirt mini
women,SKIRTS,skort pocket,midwaist skort adjustable elasticate waistband drawstring stopper patch pocket,Bottom,skort
women,SKIRTS,long satin skirt,long skirt high elastic waist,Bottom,satin skirt long
women,SKIRTS,knot midi skirt,highwaist flow midi skirt knot detail slit hem invisible zip fastening,Bottom,skirt midi
women,SKIRTS,linen blend crossover skirt,midi skirt linen blend feature asymmetric waist belt loop welt pocket button fastening,Bottom,linen belt skirt midi
women,SKIRTS,knit midi skirt metallic thread,highwaist skirt elastic waistband slit hem metallic thread detail,Bottom,knit skirt knit midi
women,SKIRTS,long denim skirt,womanhighwaist long skirt belt loop pocket fade effect visible contrast topstitche detail seamless hem opening invisible zip fastening,Bottom,denim belt denim skirt long
women,SKIRTS,highwaist denim skirt slit,womanfade highwaist long skirt belt loop fivepocket design fray split hem zip fly button fastening,Bottom,denim belt denim skirt long
women,SKIRTS,long print skirt,highwaist skirt feature elasticate waistband matching thin belt tassel,Bottom,belt skirt long
women,SKIRTS,long skirt slit,long highwaist skirt crease fabric detail flare hem slit,Bottom,skirt long
women,SKIRTS,rustic texture skirt,midrise midi skirt cotton linen blend adjustable drawstring waist fray trim flare hem,Bottom,cotton linen skirt midi
women,SKIRTS,satin pleated skirt,highwaist midi skirt invisible zip fastening,Bottom,satin skirt midi
women,SKIRTS,faux leather skirt pocket,midwaist mini skirt belt loop patch pocket zip fly metal hook fasten,Bottom,faux leather belt skirt mini
women,SKIRTS,knit cutout skirt,highwaist midi skirt feature elasticate waistband cutout detail rhinestone appliqué slit hem,Bottom,knit skirt knit midi
women,SKIRTS,pointelle knit mini skirt,highwaist skirt feature adjustable elasticate waistband drawstring ruffle hem,Bottom,knit skirt knit mini
women,SKIRTS,trf asymmetric denim metallic skirt,highwaist midi skirt feature asymmetric waist belt loop pocket metallic fabric detail fray hem slit zip button fasten,Bottom,denim belt denim skirt midi
women,SKIRTS,midi skirt gather detail,highwaist midi skirt twist fabric tie detail hem crossover open invisible zip fastening,Bottom,skirt midi
women,SKIRTS,midi pencil skirt,highwaist midi skirt welt pocket slit hem fasten metal hook inside button zip,Bottom,pencil skirt midi
women,SKIRTS,long denim trf skirt,midwaist long skirt pocket feature seamless hem slit crossover fasten inside button zip metal button,Bottom,denim denim skirt long
women,SKIRTS,skort slit detail,highwaist skort feature slit invisible zip fastening,Bottom,skort
women,SKIRTS,asymmetric skort,find,Bottom,skort
women,SKIRTS,voluminous midi skirt,highwaist midi skirt elastic waist pocket pleated detail,Bottom,skirt midi
women,SKIRTS,box pleat skort,highwaist skort pleat false golden button invisible zip fastening,Bottom,box skort
women,SKIRTS,denim trf skirt,midrise long skirt fivepocket design fade effect zip fly metal button fastening,Bottom,denim denim skirt long
women,SKIRTS,satin midi skirt,highwaist skirt elastic waistband,Bottom,satin skirt midi
women,SKIRTS,z crossover skort button,highwaist skort crossover pocket rear patch pocket seamless hem fasten hidden zip button,Bottom,skort
women,SKIRTS,denim trf cargo skirt,midwaist short skirt pocket patch pocket false flap pocket zip fly metal button fastening,Bottom,denim denim short skirt short
women,SKIRTS,long denim trf skirt,midwaist long skirt pocket feature seamless hem slit fasten zip metal button,Bottom,denim denim skirt long
women,SKIRTS,long linen skirt,long midrise skirt linen feature adjustable drawstring fabric flare hem fray trim,Bottom,linen skirt long
women,SKIRTS,sequinne miniskirt,midrise mini skirt contrast bead sequin detail matching line invisible zip fastening,Bottom,skirt mini
women,SKIRTS,z denim midi skirt slit,highwaist skirt pocket seamless hem slit zip button fastening,Bottom,denim denim skirt midi
women,SKIRTS,asymmetric skort,highwaist skort false welt pocket layered wrap detail match fabric invisible zip fastening,Bottom,skort
women,SKIRTS,z denim midi skirt slit,fade highwaist skirt fivepocket design feature vent hem zip fly metal button fastening,Bottom,denim denim skirt midi
women,SKIRTS,skort belt,highwaist skort belt detail fabric lined buckle hem vent invisible zip fastening,Bottom,belt skort
women,SKIRTS,print drape skirt,print highwaist midi skirt elasticate interior waist drape fabric detail slit hem,Bottom,skirt midi
women,SKIRTS,asymmetric crochet skirt,highwaist crochet midi skirt feature elastic waist matching lining asymmetric hem,Bottom,skirt midi
women,SKIRTS,skort bow,highwaist skort matching bow ruffle hem invisible zip fastening,Bottom,bow skort
women,SKIRTS,gather organza midi skirt,highwaist midi skirt elastic waistband gather fabric detail matching line seamless hem,Bottom,organza skirt midi
women,SKIRTS,trf denim box pleat skirt,midwaist mini skirt feature pocket box pleat hem rip detail hem zip fly metal button fastening,Bottom,denim box denim skirt mini
women,SKIRTS,cargo skort belt,midrise skort patch pocket detail invisible zip fastening belt metal buckle,Bottom,belt skort
women,SKIRTS,print midi skirt,highwaist midi skirt pleated detail waist invisible zip fastening,Bottom,skirt midi
women,SKIRTS,asymmetric fray skirt,womanmidrise midi skirt feature asymmetric waistband belt loop pocket asymmetric hem slit zip button fastening,Bottom,belt skirt midi
women,SKIRTS,linen blend highwaist skort,highwaist skort belt loop linen blend fabric pocket false rear welt pocket zip interior button metal hook fasten,Bottom,linen belt skort
women,SKIRTS,sequinne midi skirt,highwaist semisheer skirt elastic waistband vent hem seamless trim match lining,Bottom,semisheer skirt midi
women,SKIRTS,midi skirt slit,highwaist midi skirt slit detail hem invisible zip fastening,Bottom,skirt midi
women,SKIRTS,denim mini skirt,womanshort highwaist skirt double waistband detail fray hem zip button fasten,Bottom,denim denim skirt mini
women,SKIRTS,z crossover denim midi skirt,highwaist skirt patch pocket slit hem crossover metal button fasten,Bottom,denim denim skirt midi
women,SKIRTS,skort slit detail,highwaist skort slit invisible zip fastening,Bottom,skort
women,SKIRTS,z denim cape skirt,highwaist midi skirt belt loop flare hem fade effect zip fly metal button fastening,Bottom,denim belt cape denim skirt midi
women,SKIRTS,print mini skirt fringing,highwaist skirt knot detail trim feature fringing bead appliqués invisible zip fastening,Bottom,skirt mini
women,SKIRTS,linen blend skort,highwaist skort linen blend pocket false welt pocket zip fly inside button metal hook fasten,Bottom,linen skort
women,SKIRTS,cargo mini skirt,midrise mini skirt belt loop patch pocket flap detail zip fly button fastening,Bottom,belt skirt mini
women,SKIRTS,long skirt rubberise waistband,highwaist skirt wide elastic waistband lining,Bottom,rubberise skirt long
women,SKIRTS,embroider linen blend skirt,highwaist skirt linen viscose blend inseam pocket contrast floral embroidery detail fasten zip fly button shape flower,Bottom,linen viscose skirt
women,SKIRTS,embroidered midi skirt limited edition,highwaist midi skirt feature embroider ruffle bead appliqué,Bottom,skirt midi
women,SKIRTS,cargo mini skirt,midwaist mini skirt pocket patch pocket leg zip metal button fastening,Bottom,skirt mini
women,SKIRTS,linen blend buttoned midi skirt,highwaist skirt linen cotton blend false button slit hem invisible zip fastening,Bottom,cotton linen skirt midi
women,SKIRTS,z denim midi skirt zip,highwaist skirt pocket fade effect slit hem zip fasten,Bottom,denim denim skirt midi
women,SHIRTS,poplin shirt,collar vneck shirt long sleeve buttonup,Top,poplin shirt long
women,SHIRTS,poplin shirt,shirt johnny collar long sleeve buttonup,Top,poplin shirt long
women,SHIRTS,cotton blend oxford shirt,shirt cotton blend johnny collar long sleeve asymmetric hem buttonup,Top,cotton oxford shirt long
women,SHIRTS,oxford shirt,shirt cotton blend johnny collar long sleeve buttonup,Top,cotton oxford shirt long
women,SHIRTS,stripe oversize shirt,loosefitte shirt feature johnny collar long sleeve cuff chest patch pocket pleated detail buttonup,Top,shirt long
women,JEANS,marine straight fit highwaist pocket jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean belt loop patch pocket contrast visible topstitche detail seamless hem zip fly button fastening,Bottom,belt jean
women,JEANS,marine straightleg highwaist jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean patch pocket seamless hem zip fly button fastening,Bottom,jean
women,SWEATERS_CARDIGANS,wool knit polo sweater,fit sweater extra soft wool feature polo collar long sleeve button fastening,Top,knit wool polo sweater knit sweater long
women,SWEATERS_CARDIGANS,cashmere knit sweater,sweater cashmere wool blend round neck long sleeve matching rib trim,Top,cashmere knit wool sweater knit sweater long
women,SWEATERS_CARDIGANS,crop knit sweater,short sweater round neckline long sleeve,Top,knit short sweater knit sweater crop long short
women,SWEATERS_CARDIGANS,basic high neck knit sweater,sweater feature high neck long sleeve decorative metal button rib trim,Top,knit sweater knit sweater long
women,TROUSERS,highwaist culotte trouser,highwaist trouser feature pocket rear welt pocket short wide leg design zip fly interior button metal hook fasten,Bottom,short trouser short
women,WAISTCOATS_GILETS,short tailor waistcoat,vneck waistcoat feature false welt pocket button fasten,Top,short waistcoat short
women,BLAZERS,doublebreaste oversized blazer,loosefitte blazer feature lapel collar long sleeve pronounce shoulder flap pocket doublebreaste button fastening,Top,blazer lapel long
women,TROUSERS,cropped trouser,highwaist crop trouser elasticate waistband drawstre dart pocket,Bottom,trouser crop cropped
women,TROUSERS,carrot fit trouser dart detail,midwaist trouser viscose blend belt loop pocket rear welt pocket dart detail pleated hem contrast button zip fly button fastening,Bottom,viscose belt trouser
women,SHIRTS,oversized shirt,loosefitte collared shirt feature long sleeve cuff chest patch pocket pleated detail buttonup fasten,Top,shirt long
women,SHORTS_SKORTS,trf highrise mom fit denim bermuda short,highrise mom fithighrise bermuda short fivepocket design zip fly metal button fasten turnup hem,Bottom,denim bermuda denim short short
women,TROUSERS,length trouser,pleated highwaist trouser pocket zip fly inside button metal hook fasten,Bottom,trouser
women,JACKETS,faux leather jacket,jacket lapel collar long sleeve feature pocket metal zip shoulder tab belt fabric buckle metal zipup fastening,Top,faux leather belt jacket lapel long
women,JACKETS,faux leather jacket,collar jacket feature long sleeve tab shoulder feature pocket metal zip belt material metal buckle zip fasten,Top,faux leather belt jacket long
women,JEANS,highrise stove pipe trf jean,highwaist slim ankle lengthhighwaist jean fivepocket design zip fly metal button fastening,Bottom,jean
women,JEANS,trf wideleg midrise length jean,midrise wideleg lengthmidrise rigid jean fivepocket design long wide leg zip fly metal button fastening,Bottom,jean long
women,TROUSERS,highwaist trouser,highwaist trouser seam detail welt pocket zip fly inside button metal hook fasten,Bottom,trouser
women,DRESSES_JUMPSUITS,print pleated jumpsuit,playsuit surplice neckline long sleeve elasticate waist lining fasten buttoned opening,Other,jumpsuit playsuit long
women,DRESSES_JUMPSUITS,playsuit cutout detail,sleeveless playsuit round neck pleated detail opening waist invisible zip fastening opening metal button split hem gather detail,Other,playsuit sleeveless
women,DRESSES_JUMPSUITS,polyamide midi dress,midi dress polyamide elastane blend round neck drop sleeve,Other,polyamide dress midi
women,DRESSES_JUMPSUITS,fit asymmetric dress cutout detail,dress polyamide elastane blend asymmetric neckline thin elastic strap gather detail cutout detail waist,Other,polyamide dress
women,DRESSES_JUMPSUITS,metallic strapless dress,offtheshoulder midi dress straightcut neckline metallic fabric gather detail slit hem invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,foil slip dress,midi dress metalliceffect fabric drape neckline thin strap open invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,foil slip dress,long dress metalliceffect fabric feature vneckline thin strap open,Other,dress long
women,DRESSES_JUMPSUITS,transparent tulle dress,transparent midi dress high neck long sleeve pronounce seam button opening neck,Other,dress long midi
women,DRESSES_JUMPSUITS,combine nylon jumpsuit,vneck jumpsuit thin adjustable strap pocket false rear welt pocket match fabric invisible zip metal hook fasten,Other,nylon jumpsuit
women,DRESSES_JUMPSUITS,satin dress,satin dress vneckline thin strap feature open match fabric strap,Other,satin dress
women,DRESSES_JUMPSUITS,faux leather strapless dress,short dress straightcut neckline expose shoulder drape fabric metal link hem invisible zip fastening,Other,faux leather dress short short
women,DRESSES_JUMPSUITS,open cableknit dress,long feel texture dress round neck long sleeve perforate fabric detail aline hem slit garment line,Other,dress long
women,DRESSES_JUMPSUITS,jumpsuit crossover,vneck jumpsuit thin strap cross lining wideleg design invisible zip fastening,Other,jumpsuit
women,DRESSES_JUMPSUITS,cutout jumpsuit,flow jumpsuit vneckline short sleeve pleat detail opening waist invisible zip fastening,Other,jumpsuit short short
women,DRESSES_JUMPSUITS,satin camisole dress,midi dress drape neckline thin strap gather detail invisible zip fastening,Other,satin camisole dress midi
women,DRESSES_JUMPSUITS,satin dress feather,fit midi dress viscose strapless match feather appliqués invisible zip fastening,Other,satin viscose dress midi
women,DRESSES_JUMPSUITS,denim trf midi dress,midi dress vneckline adjustable thin strap,Other,denim denim dress midi
women,DRESSES_JUMPSUITS,corsetryinspire midi dress,vneck midi dress thin strap feature ring detail chest cutout detail drape fabric slit hem invisible zip fastening,Other,dress ring midi
