product_id,product_images,gender,product_category,product_name,details,category_type,combined_features
18,[],women,SKIRTS,z denim midi skirt,fade highwaist skirt feature fivepocket design vent hem button fastening,Bottom,denim denim skirt midi
19,[],women,SKIRTS,faux leather mini skirt chain,highwaist mini skirt lining metal chain link invisible zip fastening,Bottom,faux leather skirt mini
20,[],women,SKIRTS,skort pocket,midwaist skort adjustable elasticate waistband drawstring stopper patch pocket,Bottom,skort
21,[],women,SKIRTS,long satin skirt,long skirt high elastic waist,Bottom,satin skirt long
22,[],women,SKIRTS,knot midi skirt,highwaist flow midi skirt knot detail slit hem invisible zip fastening,Bottom,skirt midi
23,[],women,SKIRTS,linen blend crossover skirt,midi skirt linen blend feature asymmetric waist belt loop welt pocket button fastening,Bottom,linen belt skirt midi
24,[],women,SKIRTS,knit midi skirt metallic thread,highwaist skirt elastic waistband slit hem metallic thread detail,Bottom,knit skirt knit midi
25,[],women,SKIRTS,long denim skirt,womanhighwaist long skirt belt loop pocket fade effect visible contrast topstitche detail seamless hem opening invisible zip fastening,Bottom,denim belt denim skirt long
26,[],women,SKIRTS,highwaist denim skirt slit,womanfade highwaist long skirt belt loop fivepocket design fray split hem zip fly button fastening,Bottom,denim belt denim skirt long
27,[],women,SKIRTS,long print skirt,highwaist skirt feature elasticate waistband matching thin belt tassel,Bottom,belt skirt long
28,[],women,SKIRTS,long skirt slit,long highwaist skirt crease fabric detail flare hem slit,Bottom,skirt long
29,[],women,SKIRTS,rustic texture skirt,midrise midi skirt cotton linen blend adjustable drawstring waist fray trim flare hem,Bottom,cotton linen skirt midi
30,[],women,SKIRTS,satin pleated skirt,highwaist midi skirt invisible zip fastening,Bottom,satin skirt midi
31,[],women,SKIRTS,faux leather skirt pocket,midwaist mini skirt belt loop patch pocket zip fly metal hook fasten,Bottom,faux leather belt skirt mini
32,[],women,SKIRTS,knit cutout skirt,highwaist midi skirt feature elasticate waistband cutout detail rhinestone appliqué slit hem,Bottom,knit skirt knit midi
33,[],women,SKIRTS,pointelle knit mini skirt,highwaist skirt feature adjustable elasticate waistband drawstring ruffle hem,Bottom,knit skirt knit mini
34,[],women,SKIRTS,trf asymmetric denim metallic skirt,highwaist midi skirt feature asymmetric waist belt loop pocket metallic fabric detail fray hem slit zip button fasten,Bottom,denim belt denim skirt midi
35,[],women,SKIRTS,midi skirt gather detail,highwaist midi skirt twist fabric tie detail hem crossover open invisible zip fastening,Bottom,skirt midi
36,[],women,SKIRTS,midi pencil skirt,highwaist midi skirt welt pocket slit hem fasten metal hook inside button zip,Bottom,pencil skirt midi
37,[],women,SKIRTS,long denim trf skirt,midwaist long skirt pocket feature seamless hem slit crossover fasten inside button zip metal button,Bottom,denim denim skirt long
38,[],women,SKIRTS,skort slit detail,highwaist skort feature slit invisible zip fastening,Bottom,skort
39,[],women,SKIRTS,asymmetric skort,find,Bottom,skort
40,[],women,SKIRTS,voluminous midi skirt,highwaist midi skirt elastic waist pocket pleated detail,Bottom,skirt midi
41,[],women,SKIRTS,box pleat skort,highwaist skort pleat false golden button invisible zip fastening,Bottom,box skort
42,[],women,SKIRTS,denim trf skirt,midrise long skirt fivepocket design fade effect zip fly metal button fastening,Bottom,denim denim skirt long
43,[],women,SKIRTS,satin midi skirt,highwaist skirt elastic waistband,Bottom,satin skirt midi
44,[],women,SKIRTS,z crossover skort button,highwaist skort crossover pocket rear patch pocket seamless hem fasten hidden zip button,Bottom,skort
45,[],women,SKIRTS,denim trf cargo skirt,midwaist short skirt pocket patch pocket false flap pocket zip fly metal button fastening,Bottom,denim denim short skirt short
46,[],women,SKIRTS,long denim trf skirt,midwaist long skirt pocket feature seamless hem slit fasten zip metal button,Bottom,denim denim skirt long
47,[],women,SKIRTS,long linen skirt,long midrise skirt linen feature adjustable drawstring fabric flare hem fray trim,Bottom,linen skirt long
48,[],women,SKIRTS,sequinne miniskirt,midrise mini skirt contrast bead sequin detail matching line invisible zip fastening,Bottom,skirt mini
49,[],women,SKIRTS,z denim midi skirt slit,highwaist skirt pocket seamless hem slit zip button fastening,Bottom,denim denim skirt midi
50,[],women,SKIRTS,asymmetric skort,highwaist skort false welt pocket layered wrap detail match fabric invisible zip fastening,Bottom,skort
51,[],women,SKIRTS,z denim midi skirt slit,fade highwaist skirt fivepocket design feature vent hem zip fly metal button fastening,Bottom,denim denim skirt midi
52,[],women,SKIRTS,skort belt,highwaist skort belt detail fabric lined buckle hem vent invisible zip fastening,Bottom,belt skort
53,[],women,SKIRTS,print drape skirt,print highwaist midi skirt elasticate interior waist drape fabric detail slit hem,Bottom,skirt midi
54,[],women,SKIRTS,asymmetric crochet skirt,highwaist crochet midi skirt feature elastic waist matching lining asymmetric hem,Bottom,skirt midi
55,[],women,SKIRTS,skort bow,highwaist skort matching bow ruffle hem invisible zip fastening,Bottom,bow skort
56,[],women,SKIRTS,gather organza midi skirt,highwaist midi skirt elastic waistband gather fabric detail matching line seamless hem,Bottom,organza skirt midi
57,[],women,SKIRTS,trf denim box pleat skirt,midwaist mini skirt feature pocket box pleat hem rip detail hem zip fly metal button fastening,Bottom,denim box denim skirt mini
58,[],women,SKIRTS,cargo skort belt,midrise skort patch pocket detail invisible zip fastening belt metal buckle,Bottom,belt skort
59,[],women,SKIRTS,print midi skirt,highwaist midi skirt pleated detail waist invisible zip fastening,Bottom,skirt midi
60,[],women,SKIRTS,asymmetric fray skirt,womanmidrise midi skirt feature asymmetric waistband belt loop pocket asymmetric hem slit zip button fastening,Bottom,belt skirt midi
61,[],women,SKIRTS,linen blend highwaist skort,highwaist skort belt loop linen blend fabric pocket false rear welt pocket zip interior button metal hook fasten,Bottom,linen belt skort
62,[],women,SKIRTS,sequinne midi skirt,highwaist semisheer skirt elastic waistband vent hem seamless trim match lining,Bottom,semisheer skirt midi
63,[],women,SKIRTS,midi skirt slit,highwaist midi skirt slit detail hem invisible zip fastening,Bottom,skirt midi
64,[],women,SKIRTS,denim mini skirt,womanshort highwaist skirt double waistband detail fray hem zip button fasten,Bottom,denim denim skirt mini
65,[],women,SKIRTS,z crossover denim midi skirt,highwaist skirt patch pocket slit hem crossover metal button fasten,Bottom,denim denim skirt midi
66,[],women,SKIRTS,skort slit detail,highwaist skort slit invisible zip fastening,Bottom,skort
67,[],women,SKIRTS,z denim cape skirt,highwaist midi skirt belt loop flare hem fade effect zip fly metal button fastening,Bottom,denim belt cape denim skirt midi
68,[],women,SKIRTS,print mini skirt fringing,highwaist skirt knot detail trim feature fringing bead appliqués invisible zip fastening,Bottom,skirt mini
69,[],women,SKIRTS,linen blend skort,highwaist skort linen blend pocket false welt pocket zip fly inside button metal hook fasten,Bottom,linen skort
70,[],women,SKIRTS,cargo mini skirt,midrise mini skirt belt loop patch pocket flap detail zip fly button fastening,Bottom,belt skirt mini
71,[],women,SKIRTS,long skirt rubberise waistband,highwaist skirt wide elastic waistband lining,Bottom,rubberise skirt long
72,[],women,SKIRTS,embroider linen blend skirt,highwaist skirt linen viscose blend inseam pocket contrast floral embroidery detail fasten zip fly button shape flower,Bottom,linen viscose skirt
73,[],women,SKIRTS,embroidered midi skirt limited edition,highwaist midi skirt feature embroider ruffle bead appliqué,Bottom,skirt midi
74,[],women,SKIRTS,cargo mini skirt,midwaist mini skirt pocket patch pocket leg zip metal button fastening,Bottom,skirt mini
