product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
"[{'https://static.zara.net/photos///2022/I/2/1/p/4550/511/800/2/w/448/4550511800_6_1_1.jpg?ts=1659955085289': 'Image 0 of EYELASH CURLER from Zara'}, {'https://static.zara.net/photos///2022/I/2/1/p/4550/511/800/2/w/448/4550511800_6_2_1.jpg?ts=1659522818000': 'Image 1 of EYELASH CURLER from Zara'}]",women,ACCESSORIES,eyelash curler,allow eyelash curl raise single movement intense finish apply mascara include replacement pad,Accessories,other,other,other,other,,This is a eyelash curler,warm weather
[{'https://static.zara.net/photos///2022/I/2/1/p/4140/504/250/2/w/448/4140504250_6_1_1.jpg?ts=1661418125014': 'Image 0 of EYE BRUSH #1 from Zara'}],women,ACCESSORIES,eye brush,small eye brush design blend apply eye shadow precise way achieve intense finish high pigment,Accessories,other,other,other,other,,This is a eye brush,mild weather
[{'https://static.zara.net/photos///2023/V/2/1/p/4140/500/357/2/w/448/4140500357_6_1_1.jpg?ts=1686222829398': 'Image 0 of MAKEUP SPONGE from Zara'}],women,ACCESSORIES,makeup sponge,makeup sponge specially design liquid cream formula allow simple precise adjustable application achieve natural finish instruction use moisten sponge water drain excess water use rounded apply liquid cream formula blot skin use flat tip precise application use wash sponge soap water drain remove excess water air dryview,Accessories,other,other,water,other,water,This is a makeup sponge,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/245/808/2/w/448/4548245808_1_1_1.jpg?ts=1692868198326': 'Image 0 of CHAIN LINK COIN NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/245/808/2/w/448/4548245808_2_1_1.jpg?ts=1692868198317': 'Image 1 of CHAIN LINK COIN NECKLACE from Zara'}]",women,ACCESSORIES,chain link coin necklace,necklace feature metal link different size raise coin pendant lobster clasp fasten,Accessories,other,necklace pendant,other,other,necklace pendant,This is a chain link coin necklace,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6399/203/700/2/w/448/6399203700_1_1_1.jpg?ts=1692868198780': 'Image 0 of LEATHER BELT WITH SQUARE BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6399/203/700/2/w/448/6399203700_6_1_1.jpg?ts=1692947007669': 'Image 1 of LEATHER BELT WITH SQUARE BUCKLE from Zara'}]",women,ACCESSORIES,leather belt square buckle,leather belt square buckle loop line material,Accessories,leather,belt,other,other,leather belt,This is a leather belt square buckle made of leather. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/344/109/2/w/448/1856344109_1_1_1.jpg?ts=1692607629807': 'Image 0 of MAXI PEARL BEAD NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/344/109/2/w/448/1856344109_2_1_1.jpg?ts=1692607629278': 'Image 1 of MAXI PEARL BEAD NECKLACE from Zara'}]",women,ACCESSORIES,maxi pearl bead necklace,double necklace faux pearl appliqués lobster clasp fasten,Accessories,faux,necklace,other,other,faux necklace,This is a maxi pearl bead necklace made of faux,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/345/109/3/w/448/1856345109_1_1_1.jpg?ts=1692633398097': 'Image 0 of PACK OF FAUX PEARL NECKLACES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/345/109/2/w/448/1856345109_2_1_1.jpg?ts=1692607629684': 'Image 1 of PACK OF FAUX PEARL NECKLACES from Zara'}]",women,ACCESSORIES,pack faux pearl necklace,pack necklaceslong necklace faux pearl appliquésnecklace faux pearl appliqués lobster clasp fasten,Accessories,faux,necklace,other,other,faux necklace,This is a pack faux pearl necklace made of faux,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/349/303/2/w/448/1856349303_1_1_1.jpg?ts=1692607629626': 'Image 0 of LEATHER CORD NECKLACE WITH PLATE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/349/303/2/w/448/1856349303_2_1_1.jpg?ts=1692607629586': 'Image 1 of LEATHER CORD NECKLACE WITH PLATE from Zara'}]",women,ACCESSORIES,leather cord necklace plate,metal plate necklace leather cord,Accessories,leather,necklace,other,other,leather necklace,This is a leather cord necklace plate made of leather. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4736/243/303/2/w/448/4736243303_1_1_1.jpg?ts=1692607629660': 'Image 0 of INTERWOVEN CHAIN NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4736/243/303/2/w/448/4736243303_2_1_1.jpg?ts=1692607629479': 'Image 1 of INTERWOVEN CHAIN NECKLACE from Zara'}]",women,ACCESSORIES,interweave chain necklace,metal necklace interwoven chain lobster clasp fasten,Accessories,other,necklace,other,other,necklace,This is a interweave chain necklace,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/338/303/2/w/448/1856338303_1_1_1.jpg?ts=1692607629501': 'Image 0 of MAXI BUTTON EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/338/303/2/w/448/1856338303_6_1_1.jpg?ts=1692774445703': 'Image 1 of MAXI BUTTON EARRINGS from Zara'}]",women,ACCESSORIES,maxi button earring,metal round earring pushback clasp,Accessories,other,earring,other,other,earring,This is a maxi button earring,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2727/201/303/3/w/448/2727201303_1_1_1.jpg?ts=1685703939310': 'Image 0 of AVIATOR SUNGLASSES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2727/201/303/2/w/448/2727201303_6_1_1.jpg?ts=1684420623308': 'Image 1 of AVIATOR SUNGLASSES from Zara'}]",women,ACCESSORIES,aviator sunglass,aviatorstyle sunglass metal frame case include uv protection category,Accessories,other,other,other,other,,This is a aviator sunglass,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2727/203/760/12/w/448/2727203760_1_1_1.jpg?ts=1685704020015': 'Image 0 of RESIN SUNGLASSES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2727/203/760/2/w/448/2727203760_2_1_1.jpg?ts=1684420170527': 'Image 1 of RESIN SUNGLASSES from Zara'}]",women,ACCESSORIES,resin sunglass,resin sunglass case include uv protection category,Accessories,other,other,other,other,,This is a resin sunglass,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6399/208/800/2/w/448/6399208800_1_1_1.jpg?ts=1691675319810': 'Image 0 of WIDE LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6399/208/800/2/w/448/6399208800_2_1_1.jpg?ts=1691675320008': 'Image 1 of WIDE LEATHER BELT from Zara'}]",women,ACCESSORIES,wide leather belt,leather belt fasten metal buckle belt loop,Accessories,leather,belt,other,other,leather belt,This is a wide leather belt made of leather. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4736/242/303/2/w/448/4736242303_1_1_1.jpg?ts=1691675319976': 'Image 0 of IRREGULAR HOOP EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4736/242/303/2/w/448/4736242303_2_1_1.jpg?ts=1691675320078': 'Image 1 of IRREGULAR HOOP EARRINGS from Zara'}]",women,ACCESSORIES,irregular hoop earring,irregular hoopshape metallic earring pushback fasten,Accessories,other,earring,other,other,earring,This is a irregular hoop earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/286/881/2/w/448/1856286881_1_1_1.jpg?ts=1691675320097': 'Image 0 of MINI HOOP EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/286/881/2/w/448/1856286881_2_1_1.jpg?ts=1691675319747': 'Image 1 of MINI HOOP EARRINGS from Zara'}]",women,ACCESSORIES,mini hoop earring,small metal hoop earring pushback closure,Accessories,other,earring,other,mini,earring mini,This is a mini hoop earring with mini coverage,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/255/303/17/w/448/1856255303_1_1_1.jpg?ts=1691582964428': 'Image 0 of PACK OF HOOP EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/255/303/2/w/448/1856255303_6_1_1.jpg?ts=1691136136526': 'Image 1 of PACK OF HOOP EARRINGS from Zara'}]",women,ACCESSORIES,pack hoop earring,metal earring click fasten metal earring rhinestone appliqué click fasten metal earring rhinestone appliqué pushback fasten,Accessories,other,earring,other,other,earring,This is a pack hoop earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/256/808/2/w/448/1856256808_1_1_1.jpg?ts=1690530689657': 'Image 0 of PACK OF HOOP EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/256/808/2/w/448/1856256808_2_1_1.jpg?ts=1690530689449': 'Image 1 of PACK OF HOOP EARRINGS from Zara'}]",women,ACCESSORIES,pack hoop earring,metal earring pushback fasten metal earring pushback fasten,Accessories,other,earring,other,other,earring,This is a pack hoop earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/257/303/3/w/448/1856257303_1_1_1.jpg?ts=1690546400594': 'Image 0 of MEDIUM HOOP EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/257/303/2/w/448/1856257303_6_1_1.jpg?ts=1690533838987': 'Image 1 of MEDIUM HOOP EARRINGS from Zara'}]",women,ACCESSORIES,medium hoop earring,metal earring pushback fasten,Accessories,other,earring,other,other,earring,This is a medium hoop earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/261/303/3/w/448/1856261303_1_1_1.jpg?ts=1690546400498': 'Image 0 of PACK OF RHINESTONE NECKLACES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/261/303/3/w/448/1856261303_2_1_1.jpg?ts=1690546400623': 'Image 1 of PACK OF RHINESTONE NECKLACES from Zara'}]",women,ACCESSORIES,pack rhinestone necklace,twopack necklace metal necklace metal necklace rhinestone appliqué,Accessories,other,necklace,other,other,necklace,This is a pack rhinestone necklace,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/260/303/3/w/448/1856260303_1_1_1.jpg?ts=1690546400539': 'Image 0 of PACK OF FRESH WATER PEARL BEAD NECKLACES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/260/303/2/w/448/1856260303_6_1_1.jpg?ts=1690533839633': 'Image 1 of PACK OF FRESH WATER PEARL BEAD NECKLACES from Zara'}]",women,ACCESSORIES,pack fresh water pearl bead necklace,twopack necklace metal necklace metal necklace faux pearl bead appliqué,Accessories,faux,necklace,water,other,faux necklace water,This is a pack fresh water pearl bead necklace made of faux,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/3920/214/703/2/w/448/3920214703_1_1_1.jpg?ts=1687861188860': 'Image 0 of STRIPED CROCHET HAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3920/214/703/2/w/448/3920214703_6_1_1.jpg?ts=1687776280826': 'Image 1 of STRIPED CROCHET HAT from Zara'}]",women,ACCESSORIES,stripe crochet hat,hat crochet fabric,Accessories,other,hat,other,other,hat,This is a stripe crochet hat,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4340/006/330/3/w/448/4340006330_1_1_1.jpg?ts=1687963869620': 'Image 0 of BEADED FLORAL EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4340/006/330/3/w/448/4340006330_2_1_1.jpg?ts=1687963869508': 'Image 1 of BEADED FLORAL EARRINGS from Zara'}]",women,ACCESSORIES,bead floral earring,flowershape dangle earring fabric multicoloure bead detail pushback clip closure,Accessories,other,earring,other,other,earring,This is a bead floral earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/319/808/2/w/448/1856319808_1_1_1.jpg?ts=1691049410533': 'Image 0 of ASYMMETRIC HEART EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/319/808/2/w/448/1856319808_2_1_1.jpg?ts=1691049410550': 'Image 1 of ASYMMETRIC HEART EARRINGS from Zara'}]",women,ACCESSORIES,asymmetric heart earring,heartshape metal earring faux pearl appliqué pushback closure,Accessories,faux,earring,other,other,faux earring,This is a asymmetric heart earring made of faux,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4736/241/805/2/w/448/4736241805_1_1_1.jpg?ts=1691049409954': 'Image 0 of PACK OF RESIN RINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4736/241/805/2/w/448/4736241805_2_1_1.jpg?ts=1691049409945': 'Image 1 of PACK OF RESIN RINGS from Zara'}]",women,ACCESSORIES,pack resin ring,pack metal ring transparent resin stonemeasurement mm mm,Accessories,other,ring,other,other,ring,This is a pack resin ring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/289/303/2/w/448/1856289303_1_1_1.jpg?ts=1691049410334': 'Image 0 of COLOURED RHINESTONE EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/289/303/2/w/448/1856289303_2_1_1.jpg?ts=1691049410598': 'Image 1 of COLOURED RHINESTONE EARRINGS from Zara'}]",women,ACCESSORIES,colour rhinestone earring,metal earring coloured rhinestone pushback clip closure,Accessories,other,earring,other,other,earring,This is a colour rhinestone earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/258/303/2/w/448/1856258303_1_1_1.jpg?ts=1691049410029': 'Image 0 of ROLLED HOOP EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/258/303/2/w/448/1856258303_2_1_1.jpg?ts=1691049410424': 'Image 1 of ROLLED HOOP EARRINGS from Zara'}]",women,ACCESSORIES,roll hoop earring,twisted metal hoop earring pushback closure,Accessories,other,earring,other,other,earring,This is a roll hoop earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/295/303/2/w/448/1856295303_1_1_1.jpg?ts=1691049410312': 'Image 0 of ASYMMETRIC EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/295/303/2/w/448/1856295303_2_1_1.jpg?ts=1691049410344': 'Image 1 of ASYMMETRIC EARRINGS from Zara'}]",women,ACCESSORIES,asymmetric earring,metal asymmetric earring pushback closure,Accessories,other,earring,other,other,earring,This is a asymmetric earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1070/201/700/2/w/448/1070201700_1_1_1.jpg?ts=1688032290705': 'Image 0 of CASCADING NECKLACE WITH BEADS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1070/201/700/2/w/448/1070201700_2_1_1.jpg?ts=1688032290110': 'Image 1 of CASCADING NECKLACE WITH BEADS from Zara'}]",women,ACCESSORIES,cascade necklace bead,cascade necklace bead different material lobster clasp fasten,Accessories,other,necklace,other,other,necklace,This is a cascade necklace bead,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7243/204/630/2/w/448/7243204630_1_1_1.jpg?ts=1688032290971': 'Image 0 of BEADED FLORAL EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7243/204/630/2/w/448/7243204630_6_1_1.jpg?ts=1688119006389': 'Image 1 of BEADED FLORAL EARRINGS from Zara'}]",women,ACCESSORIES,bead floral earring,flowershape long earring tulle beading pushback clip closure,Accessories,other,earring,other,long,earring long,This is a bead floral earring with long coverage. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/0653/236/052/2/w/448/0653236052_1_1_1.jpg?ts=1688032289837': 'Image 0 of REVERSIBLE RUSTIC HAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0653/236/052/2/w/448/0653236052_2_1_1.jpg?ts=1688032290158': 'Image 1 of REVERSIBLE RUSTIC HAT from Zara'}]",women,ACCESSORIES,reversible rustic hat,reversible hat cotton linen jute blend,Accessories,cotton jute linen,hat,other,other,cotton jute linen hat,This is a reversible rustic hat made of cotton jute linen. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/0653/268/811/2/w/448/0653268811_2_1_1.jpg?ts=1689088656441': 'Image 0 of RIPPED DENIM CAP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0653/268/811/2/w/448/0653268811_6_1_1.jpg?ts=1689159279766': 'Image 1 of RIPPED DENIM CAP from Zara'}]",women,ACCESSORIES,rip denim cap,peak cap denim fabric adjustable rip detail,Accessories,denim,cap denim,other,other,denim cap denim,This is a rip denim cap made of denim. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1124/021/303/3/w/448/1124021303_1_1_1.jpg?ts=1685008128900': 'Image 0 of TRIPLE DIAMOND-SHAPED EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1124/021/303/3/w/448/1124021303_2_1_1.jpg?ts=1685008128800': 'Image 1 of TRIPLE DIAMOND-SHAPED EARRINGS from Zara'}]",women,ACCESSORIES,triple diamondshape earring,metal dangle earring shape diamond pushback closure,Accessories,other,earring,other,other,earring,This is a triple diamondshape earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/277/808/12/w/448/1856277808_1_1_1.jpg?ts=1689680843555': 'Image 0 of RESIN NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/277/808/12/w/448/1856277808_2_1_1.jpg?ts=1689680842934': 'Image 1 of RESIN NECKLACE from Zara'}]",women,ACCESSORIES,resin necklace,metallic necklace transparent resin stone lobster clasp fasten,Accessories,other,necklace,other,other,necklace,This is a resin necklace,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/269/808/17/w/448/1856269808_1_1_1.jpg?ts=1689758409775': 'Image 0 of RESIN EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/269/808/17/w/448/1856269808_2_1_1.jpg?ts=1689758409870': 'Image 1 of RESIN EARRINGS from Zara'}]",women,ACCESSORIES,resin earring,metal earring transparent resin stone pushback clip closure,Accessories,other,earring,other,other,earring,This is a resin earring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/271/808/12/w/448/1856271808_1_1_1.jpg?ts=1689680843776': 'Image 0 of FAUX PEARL CHAIN LINK EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/271/808/12/w/448/1856271808_2_1_1.jpg?ts=1689680842538': 'Image 1 of FAUX PEARL CHAIN LINK EARRINGS from Zara'}]",women,ACCESSORIES,faux pearl chain link earring,metal chain link earring ball faux pearl pendant pushback clasp,Accessories,faux,earring pendant,other,other,faux earring pendant,This is a faux pearl chain link earring made of faux,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/228/808/12/w/448/4548228808_1_1_1.jpg?ts=1689680843456': 'Image 0 of PACK OF METALLIC BRACELETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/228/808/12/w/448/4548228808_2_1_1.jpg?ts=1689680843201': 'Image 1 of PACK OF METALLIC BRACELETS from Zara'}]",women,ACCESSORIES,pack metallic bracelet,pack texture metal bracelet,Accessories,other,bracelet,other,other,bracelet,This is a pack metallic bracelet,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2727/007/800/2/w/448/2727007800_6_1_1.jpg?ts=1689602885857': 'Image 0 of XL POLARISED SUNGLASSES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2727/007/800/2/w/448/2727007800_6_2_1.jpg?ts=1689601550357': 'Image 1 of XL POLARISED SUNGLASSES from Zara'}]",women,ACCESSORIES,xl polarise sunglass,sunglass xl shield uv protection category,Accessories,other,other,other,other,,This is a xl polarise sunglass,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4646/002/800/2/w/448/4646002800_6_1_1.jpg?ts=1689601549294': 'Image 0 of STRAIGHT SUNGLASSES WITH FRAME from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4646/002/800/2/w/448/4646002800_6_2_1.jpg?ts=1689601549482': 'Image 1 of STRAIGHT SUNGLASSES WITH FRAME from Zara'}]",women,ACCESSORIES,straight sunglass frame,sunglass coloured resin frame case include uv protection category,Accessories,other,other,other,other,,This is a straight sunglass frame,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4646/201/800/2/w/448/4646201800_1_1_1.jpg?ts=1684420173174': 'Image 0 of CATEYE SUNGLASSES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4646/201/800/2/w/448/4646201800_6_1_1.jpg?ts=1684483469877': 'Image 1 of CATEYE SUNGLASSES from Zara'}]",women,ACCESSORIES,cateye sunglass,sunglass resin frame case include uv protection category,Accessories,other,other,other,other,,This is a cateye sunglass,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4736/212/303/2/w/448/4736212303_1_1_1.jpg?ts=1684852151014': 'Image 0 of MAXI WOODEN NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4736/212/303/2/w/448/4736212303_2_1_1.jpg?ts=1684852150109': 'Image 1 of MAXI WOODEN NECKLACE from Zara'}]",women,ACCESSORIES,maxi wooden necklace,maxi necklace contrast wood lobster clasp fasten,Accessories,other,necklace,other,other,necklace,This is a maxi wooden necklace,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/212/303/2/w/448/1856212303_1_1_1.jpg?ts=1684852148956': 'Image 0 of CIRCULAR WOODEN NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/212/303/2/w/448/1856212303_6_1_1.jpg?ts=1685517679481': 'Image 1 of CIRCULAR WOODEN NECKLACE from Zara'}]",women,ACCESSORIES,circular wooden necklace,metal necklace circular wooden pendant,Accessories,other,necklace pendant,other,other,necklace pendant,This is a circular wooden necklace,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/0653/266/620/17/w/448/0653266620_1_1_1.jpg?ts=1692187330999': 'Image 0 of SATIN TURBAN CAP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0653/266/620/2/w/448/0653266620_6_1_1.jpg?ts=1688464095431': 'Image 1 of SATIN TURBAN CAP from Zara'}]",women,ACCESSORIES,satin turban cap,satin cap headband elastic detail tie detail,Accessories,satin,cap,other,other,satin cap,This is a satin turban cap made of satin,cool weather
