product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_1_1_1.jpg?ts=1692876611654': 'Image 0 of HIGH-WAIST CULOTTE TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_2_1_1.jpg?ts=1692876613115': 'Image 1 of HIGH-WAIST CULOTTE TROUSERS from Zara'}]",women,TROUSERS,highwaist culotte trouser,highwaist trouser feature pocket rear welt pocket short wide leg design zip fly interior button metal hook fasten,Bottom,other,short trouser,other,short,short trouser short,This is a highwaist culotte trouser with short coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/2/w/448/1478060800_1_1_1.jpg?ts=1692791553719': 'Image 0 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/26/w/448/1478060800_2_1_1.jpg?ts=1692877539382': 'Image 1 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}]",women,TROUSERS,carrot fit trouser dart detail,midwaist trouser viscose blend belt loop pocket rear welt pocket dart detail pleated hem contrast button zip fly button fastening,Bottom,viscose,belt trouser,other,other,viscose belt trouser,This is a carrot fit trouser dart detail made of viscose. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8197/053/400/12/w/448/8197053400_1_1_1.jpg?ts=1689775918489': 'Image 0 of TRF HIGH-RISE MOM FIT DENIM BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/8197/053/400/2/w/448/8197053400_6_1_1.jpg?ts=1680258835206': 'Image 1 of TRF HIGH-RISE MOM FIT DENIM BERMUDA SHORTS from Zara'}]",women,SHORTS_SKORTS,trf highrise mom fit denim bermuda short,highrise mom fithighrise bermuda short fivepocket design zip fly metal button fasten turnup hem,Bottom,denim,bermuda denim short,other,short,denim bermuda denim short short,This is a trf highrise mom fit denim bermuda short made of denim with short coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8197/248/443/2/w/448/8197248443_1_1_1.jpg?ts=1692362501984': 'Image 0 of HIGH-RISE STOVE PIPE TRF JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8197/248/443/2/w/448/8197248443_2_1_1.jpg?ts=1692362501914': 'Image 1 of HIGH-RISE STOVE PIPE TRF JEANS from Zara'}]",women,JEANS,highrise stove pipe trf jean,highwaist slim ankle lengthhighwaist jean fivepocket design zip fly metal button fastening,Bottom,other,jean,other,other,jean,This is a highrise stove pipe trf jean,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2910/202/717/2/w/448/2910202717_1_1_1.jpg?ts=1685704730589': 'Image 0 of HIGH-WAIST BIKINI BOTTOM from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2910/202/717/2/w/448/2910202717_2_1_1.jpg?ts=1685704729689': 'Image 1 of HIGH-WAIST BIKINI BOTTOM from Zara'}]",women,SHORTS_SKORTS,highwaist bikini,highwaist bikini,Bottom,other,bikini,other,other,bikini,This is a highwaist bikini,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8307/240/407/2/w/448/8307240407_1_1_1.jpg?ts=1692952113181': 'Image 0 of ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8307/240/407/2/w/448/8307240407_2_1_1.jpg?ts=1692952113134': 'Image 1 of ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS from Zara'}]",women,JEANS,marine straightleg highwaist jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean patch pocket seamless hem zip fly button fasteningview,Bottom,other,jean,other,other,jean,This is a marine straightleg highwaist jean,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/2/w/448/1478060800_1_1_1.jpg?ts=1692791553719': 'Image 0 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/26/w/448/1478060800_2_1_1.jpg?ts=1692877539382': 'Image 1 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}]",women,TROUSERS,carrot fit trouser dart detail,midwaist trouser viscose blend belt loop pocket rear welt pocket dart detail pleated hem contrast button zip fly button fastening,Bottom,viscose,belt trouser,other,other,viscose belt trouser,This is a carrot fit trouser dart detail made of viscose. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7825/827/800/3/w/448/7825827800_1_1_1.jpg?ts=1689782343849': 'Image 0 of LONG SATIN SKIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7825/827/800/3/w/448/7825827800_2_1_1.jpg?ts=1689782340733': 'Image 1 of LONG SATIN SKIRT - LIMITED EDITION from Zara'}]",women,SKIRTS,long satin skirt limited edition,highwaist long skirt viscose fabric asymmetric hem tail invisible zip fastening,Bottom,satin viscose,skirt,other,long,satin viscose skirt long,This is a long satin skirt limited edition made of satin viscose with long coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/245/401/2/w/448/2753245401_1_1_1.jpg?ts=1692352292803': 'Image 0 of FULL LENGTH FLARE TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/245/401/2/w/448/2753245401_2_1_1.jpg?ts=1692352293902': 'Image 1 of FULL LENGTH FLARE TROUSERS from Zara'}]",women,TROUSERS,length flare trouser,highwaist trouser pocket false welt pocket flare hem zip fly interior button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a length flare trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7102/562/804/18/w/448/7102562804_1_1_1.jpg?ts=1692689248482': 'Image 0 of HIGH-WAIST TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7102/562/804/18/w/448/7102562804_2_1_1.jpg?ts=1692689248227': 'Image 1 of HIGH-WAIST TROUSERS from Zara'}]",women,TROUSERS,highwaist trouser,highwaist trouser seam detail welt pocket zip fly inside button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a highwaist trouser,cool weather
