gender,product_category,product_name,details,category_type,combined_features,text,weather_label
women,SKIRTS,z denim midi skirt,fade highwaist skirt feature fivepocket design vent hem button fastening,Bottom,denim denim skirt midi,denim denim skirt midi z denim midi skirt,10-15°C cool weather
women,SKIRTS,faux leather mini skirt chain,highwaist mini skirt lining metal chain link invisible zip fastening,Bottom,faux leather skirt mini,faux leather skirt mini faux leather mini skirt chain,10-15°C cool weather
women,SKIRTS,skort pocket,midwaist skort adjustable elasticate waistband drawstring stopper patch pocket,Bottom,skort,skort skort pocket,5-10°C cold weather
women,SKIRTS,long satin skirt,long skirt high elastic waist,Bottom,satin skirt long,satin skirt long long satin skirt,10-15°C cool weather
women,SKIRTS,knot midi skirt,highwaist flow midi skirt knot detail slit hem invisible zip fastening,Bottom,skirt midi,skirt midi knot midi skirt,10-15°C cool weather
women,SKIRTS,linen blend crossover skirt,midi skirt linen blend feature asymmetric waist belt loop welt pocket button fastening,Bottom,linen belt skirt midi,linen belt skirt midi linen blend crossover skirt,10-15°C cool weather
women,SKIRTS,knit midi skirt metallic thread,highwaist skirt elastic waistband slit hem metallic thread detail,Bottom,knit skirt knit midi,knit skirt knit midi knit midi skirt metallic thread,10-15°C cool weather
women,SKIRTS,long denim skirt,womanhighwaist long skirt belt loop pocket fade effect visible contrast topstitche detail seamless hem opening invisible zip fastening,Bottom,denim belt denim skirt long,denim belt denim skirt long long denim skirt,10-15°C cool weather
women,SKIRTS,highwaist denim skirt slit,womanfade highwaist long skirt belt loop fivepocket design fray split hem zip fly button fastening,Bottom,denim belt denim skirt long,denim belt denim skirt long highwaist denim skirt slit,10-15°C cool weather
women,SKIRTS,long print skirt,highwaist skirt feature elasticate waistband matching thin belt tassel,Bottom,belt skirt long,belt skirt long long print skirt,10-15°C cool weather
women,SKIRTS,long skirt slit,long highwaist skirt crease fabric detail flare hem slit,Bottom,skirt long,skirt long long skirt slit,10-15°C cool weather
women,SKIRTS,rustic texture skirt,midrise midi skirt cotton linen blend adjustable drawstring waist fray trim flare hem,Bottom,cotton linen skirt midi,cotton linen skirt midi rustic texture skirt,10-15°C cool weather
women,SKIRTS,satin pleated skirt,highwaist midi skirt invisible zip fastening,Bottom,satin skirt midi,satin skirt midi satin pleated skirt,10-15°C cool weather
women,SKIRTS,faux leather skirt pocket,midwaist mini skirt belt loop patch pocket zip fly metal hook fasten,Bottom,faux leather belt skirt mini,faux leather belt skirt mini faux leather skirt pocket,10-15°C cool weather
women,SKIRTS,knit cutout skirt,highwaist midi skirt feature elasticate waistband cutout detail rhinestone appliqué slit hem,Bottom,knit skirt knit midi,knit skirt knit midi knit cutout skirt,10-15°C cool weather
women,SKIRTS,pointelle knit mini skirt,highwaist skirt feature adjustable elasticate waistband drawstring ruffle hem,Bottom,knit skirt knit mini,knit skirt knit mini pointelle knit mini skirt,10-15°C cool weather
women,SKIRTS,trf asymmetric denim metallic skirt,highwaist midi skirt feature asymmetric waist belt loop pocket metallic fabric detail fray hem slit zip button fasten,Bottom,denim belt denim skirt midi,denim belt denim skirt midi trf asymmetric denim metallic skirt,10-15°C cool weather
women,SKIRTS,midi skirt gather detail,highwaist midi skirt twist fabric tie detail hem crossover open invisible zip fastening,Bottom,skirt midi,skirt midi midi skirt gather detail,10-15°C cool weather
women,SKIRTS,midi pencil skirt,highwaist midi skirt welt pocket slit hem fasten metal hook inside button zip,Bottom,pencil skirt midi,pencil skirt midi midi pencil skirt,10-15°C cool weather
women,SKIRTS,long denim trf skirt,midwaist long skirt pocket feature seamless hem slit crossover fasten inside button zip metal button,Bottom,denim denim skirt long,denim denim skirt long long denim trf skirt,10-15°C cool weather
women,SKIRTS,skort slit detail,highwaist skort feature slit invisible zip fastening,Bottom,skort,skort skort slit detail,5-10°C cold weather
women,SKIRTS,asymmetric skort,find,Bottom,skort,skort asymmetric skort,10-15°C cool weather
women,SKIRTS,voluminous midi skirt,highwaist midi skirt elastic waist pocket pleated detail,Bottom,skirt midi,skirt midi voluminous midi skirt,10-15°C cool weather
women,SKIRTS,box pleat skort,highwaist skort pleat false golden button invisible zip fastening,Bottom,box skort,box skort box pleat skort,10-15°C cool weather
women,SKIRTS,denim trf skirt,midrise long skirt fivepocket design fade effect zip fly metal button fastening,Bottom,denim denim skirt long,denim denim skirt long denim trf skirt,10-15°C cool weather
women,SKIRTS,satin midi skirt,highwaist skirt elastic waistband,Bottom,satin skirt midi,satin skirt midi satin midi skirt,10-15°C cool weather
women,SKIRTS,z crossover skort button,highwaist skort crossover pocket rear patch pocket seamless hem fasten hidden zip button,Bottom,skort,skort z crossover skort button,5-10°C cold weather
women,SKIRTS,denim trf cargo skirt,midwaist short skirt pocket patch pocket false flap pocket zip fly metal button fastening,Bottom,denim denim short skirt short,denim denim short skirt short denim trf cargo skirt,10-15°C cool weather
women,SKIRTS,long denim trf skirt,midwaist long skirt pocket feature seamless hem slit fasten zip metal button,Bottom,denim denim skirt long,denim denim skirt long long denim trf skirt,10-15°C cool weather
women,SKIRTS,long linen skirt,long midrise skirt linen feature adjustable drawstring fabric flare hem fray trim,Bottom,linen skirt long,linen skirt long long linen skirt,10-15°C cool weather
women,SKIRTS,sequinne miniskirt,midrise mini skirt contrast bead sequin detail matching line invisible zip fastening,Bottom,skirt mini,skirt mini sequinne miniskirt,10-15°C cool weather
women,SKIRTS,z denim midi skirt slit,highwaist skirt pocket seamless hem slit zip button fastening,Bottom,denim denim skirt midi,denim denim skirt midi z denim midi skirt slit,10-15°C cool weather
women,SKIRTS,asymmetric skort,highwaist skort false welt pocket layered wrap detail match fabric invisible zip fastening,Bottom,skort,skort asymmetric skort,10-15°C cool weather
women,SKIRTS,z denim midi skirt slit,fade highwaist skirt fivepocket design feature vent hem zip fly metal button fastening,Bottom,denim denim skirt midi,denim denim skirt midi z denim midi skirt slit,10-15°C cool weather
women,SKIRTS,skort belt,highwaist skort belt detail fabric lined buckle hem vent invisible zip fastening,Bottom,belt skort,belt skort skort belt,10-15°C cool weather
women,SKIRTS,print drape skirt,print highwaist midi skirt elasticate interior waist drape fabric detail slit hem,Bottom,skirt midi,skirt midi print drape skirt,10-15°C cool weather
women,SKIRTS,asymmetric crochet skirt,highwaist crochet midi skirt feature elastic waist matching lining asymmetric hem,Bottom,skirt midi,skirt midi asymmetric crochet skirt,10-15°C cool weather
women,SKIRTS,skort bow,highwaist skort matching bow ruffle hem invisible zip fastening,Bottom,bow skort,bow skort skort bow,10-15°C cool weather
women,SKIRTS,gather organza midi skirt,highwaist midi skirt elastic waistband gather fabric detail matching line seamless hem,Bottom,organza skirt midi,organza skirt midi gather organza midi skirt,10-15°C cool weather
women,SKIRTS,trf denim box pleat skirt,midwaist mini skirt feature pocket box pleat hem rip detail hem zip fly metal button fastening,Bottom,denim box denim skirt mini,denim box denim skirt mini trf denim box pleat skirt,10-15°C cool weather
women,SKIRTS,cargo skort belt,midrise skort patch pocket detail invisible zip fastening belt metal buckle,Bottom,belt skort,belt skort cargo skort belt,10-15°C cool weather
women,SKIRTS,print midi skirt,highwaist midi skirt pleated detail waist invisible zip fastening,Bottom,skirt midi,skirt midi print midi skirt,10-15°C cool weather
women,SKIRTS,asymmetric fray skirt,womanmidrise midi skirt feature asymmetric waistband belt loop pocket asymmetric hem slit zip button fastening,Bottom,belt skirt midi,belt skirt midi asymmetric fray skirt,10-15°C cool weather
women,SKIRTS,linen blend highwaist skort,highwaist skort belt loop linen blend fabric pocket false rear welt pocket zip interior button metal hook fasten,Bottom,linen belt skort,linen belt skort linen blend highwaist skort,10-15°C cool weather
women,SKIRTS,sequinne midi skirt,highwaist semisheer skirt elastic waistband vent hem seamless trim match lining,Bottom,semisheer skirt midi,semisheer skirt midi sequinne midi skirt,10-15°C cool weather
women,SKIRTS,midi skirt slit,highwaist midi skirt slit detail hem invisible zip fastening,Bottom,skirt midi,skirt midi midi skirt slit,10-15°C cool weather
women,SKIRTS,denim mini skirt,womanshort highwaist skirt double waistband detail fray hem zip button fasten,Bottom,denim denim skirt mini,denim denim skirt mini denim mini skirt,10-15°C cool weather
women,SKIRTS,z crossover denim midi skirt,highwaist skirt patch pocket slit hem crossover metal button fasten,Bottom,denim denim skirt midi,denim denim skirt midi z crossover denim midi skirt,10-15°C cool weather
women,SKIRTS,skort slit detail,highwaist skort slit invisible zip fastening,Bottom,skort,skort skort slit detail,5-10°C cold weather
women,SKIRTS,z denim cape skirt,highwaist midi skirt belt loop flare hem fade effect zip fly metal button fastening,Bottom,denim belt cape denim skirt midi,denim belt cape denim skirt midi z denim cape skirt,10-15°C cool weather
women,SKIRTS,print mini skirt fringing,highwaist skirt knot detail trim feature fringing bead appliqués invisible zip fastening,Bottom,skirt mini,skirt mini print mini skirt fringing,10-15°C cool weather
women,SKIRTS,linen blend skort,highwaist skort linen blend pocket false welt pocket zip fly inside button metal hook fasten,Bottom,linen skort,linen skort linen blend skort,10-15°C cool weather
women,SKIRTS,cargo mini skirt,midrise mini skirt belt loop patch pocket flap detail zip fly button fastening,Bottom,belt skirt mini,belt skirt mini cargo mini skirt,10-15°C cool weather
women,SKIRTS,long skirt rubberise waistband,highwaist skirt wide elastic waistband lining,Bottom,rubberise skirt long,rubberise skirt long long skirt rubberise waistband,10-15°C cool weather
women,SKIRTS,embroider linen blend skirt,highwaist skirt linen viscose blend inseam pocket contrast floral embroidery detail fasten zip fly button shape flower,Bottom,linen viscose skirt,linen viscose skirt embroider linen blend skirt,10-15°C cool weather
women,SKIRTS,embroidered midi skirt limited edition,highwaist midi skirt feature embroider ruffle bead appliqué,Bottom,skirt midi,skirt midi embroidered midi skirt limited edition,10-15°C cool weather
women,SKIRTS,cargo mini skirt,midwaist mini skirt pocket patch pocket leg zip metal button fastening,Bottom,skirt mini,skirt mini cargo mini skirt,10-15°C cool weather
women,SKIRTS,linen blend buttoned midi skirt,highwaist skirt linen cotton blend false button slit hem invisible zip fastening,Bottom,cotton linen skirt midi,cotton linen skirt midi linen blend buttoned midi skirt,10-15°C cool weather
women,SKIRTS,z denim midi skirt zip,highwaist skirt pocket fade effect slit hem zip fasten,Bottom,denim denim skirt midi,denim denim skirt midi z denim midi skirt zip,10-15°C cool weather
