product_id,gender,product_category,product_name,details,category_type,combined_features,text,weather_label
1421,women,SHOES,ballet flat buckle,ballet flat buckle strap instep round toesole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,, ballet flat buckle,10-15°C cool weather
1432,women,SHOES,flat leather cage sandal,flat leather cage sandal wide strap buckle ankle strap fasteningsole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal,leather sandal flat leather cage sandal,15-20°C mild weather
1442,women,SHOES,leather mule loafer buckle,leather flat mule loafer metallic buckle detail sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather loafer mule,leather loafer mule leather mule loafer buckle,15-20°C mild weather
1447,women,SHOES,leather cowboy ankle boot,leather cowboystyle ankle boot block heel pull tab point toe heel height cm,Shoes,leather boot,leather boot leather cowboy ankle boot,10-15°C cool weather
1459,women,SHOES,tassel loafer,flat loafer metallic buckle detail tassel frontsole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,loafer,loafer tassel loafer,15-20°C mild weather
1469,women,SHOES,kitten heel slingback shoe chain,kitten heel slingback shoe patentfinish chain detail strap elastic pieceheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe kitten heel slingback shoe chain,15-20°C mild weather
1482,women,SHOES,ballet flat square toe buckle,ballet flat strap detail buckle square toesole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,, ballet flat square toe buckle,15-20°C mild weather
1483,women,SHOES,ballet flat bow square toe,ballet flat bow detail square toesole height cm,Shoes,bow,bow ballet flat bow square toe,15-20°C mild weather
1512,women,SHOES,leather heel shoe instep strap,leather heel shoe buckle detail strap instep buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather shoe,leather shoe leather heel shoe instep strap,15-20°C mild weather
1517,women,SHOES,split suede clog buckle,flat split suede clog buckle round toe sole height cm,Shoes,suede clog,suede clog split suede clog buckle,15-20°C mild weather
1525,women,SHOES,flat faux patent shoe pointed toe,flat faux patent shoe double buckle strap point toesole height cm,Shoes,faux patent shoe,faux patent shoe flat faux patent shoe pointed toe,15-20°C mild weather
1532,women,SHOES,blockheel fabric shoe,fabric blockheel court shoe square vamp pointed toeheel height cm,Shoes,shoe,shoe blockheel fabric shoe,15-20°C mild weather
1539,women,SHOES,highheel mule,highheel mule point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,mule,mule highheel mule,10-15°C cool weather
1543,women,SHOES,leather cowboyheel ankle boot,heeled leather ankle boot cowboy style point toe zip fasten heel height cm airfit flexible technical latex foam insole design offer great comfort,Shoes,leather boot,leather boot leather cowboyheel ankle boot,10-15°C cool weather
1544,women,SHOES,leather cowboy ankle boot,leather cowboystyle ankle boot geometric heel point toe zip fasten sideheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather boot,leather boot leather cowboy ankle boot,10-15°C cool weather
1557,women,SHOES,stud flat slingback shoe,flat slingback shoe stud strap instep buckle strap sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe stud flat slingback shoe,15-20°C mild weather
1564,women,SHOES,metallic crochet ballet flat,metalliceffect crochet ballet flat chain ankle strap round toe sole height cm,Shoes,, metallic crochet ballet flat,10-15°C cool weather
1569,women,SHOES,buckle denim clog,flat denim clog metallic buckle sole height cm,Shoes,denim clog denim,denim clog denim buckle denim clog,15-20°C mild weather
1579,women,SHOES,satin ballet flat bow detail,satin ballet flat bow detail round toesole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,satin bow,satin bow satin ballet flat bow detail,15-20°C mild weather
2079,women,SHOES,platform wedge sandal,sandal platform wedge heel wide strap frontheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal platform wedge sandal,15-20°C mild weather
2080,women,SHOES,kitten heel ankle boot,kitten heeled ankle boot stretch material point toe heel height cm,Shoes,boot,boot kitten heel ankle boot,10-15°C cool weather
2081,women,SHOES,leather cowboy ankle boot,leather cowboystyle ankle boot block heel pull tab point toe heel height cm,Shoes,leather boot,leather boot leather cowboy ankle boot,10-15°C cool weather
2082,women,SHOES,fabric highheel ankle boot,highheel stretchy fabric ankle boot point toeheel height cm,Shoes,boot,boot fabric highheel ankle boot,10-15°C cool weather
2083,women,SHOES,leather heel ankle boot,leather ankle boot block heel point toe elastic gore pull tab heel height cm,Shoes,leather boot,leather boot leather heel ankle boot,15-20°C mild weather
2084,women,SHOES,contrast loafer,flat loafer contrast vamp penny strap round toe sole height cm,Shoes,loafer,loafer contrast loafer,10-15°C cool weather
2085,women,SHOES,run trainer,run trainer chunky sole pull tab laceup fasten sole height cm,Shoes,trainer,trainer run trainer,10-15°C cool weather
2086,women,SHOES,run trainer,run trainer chunky sole laceup fasten sole height cm,Shoes,trainer,trainer run trainer,10-15°C cool weather
2087,women,SHOES,tracksole mary jane buckle,mary jane patent finish chunky track sole round toe buckle fasten sole height cm,Shoes,patent,patent tracksole mary jane buckle,10-15°C cool weather
2088,women,SHOES,flat track shoe,flat track sole shoe buckle strap instep pull tab round toesole height cm,Shoes,shoe,shoe flat track shoe,10-15°C cool weather
2089,women,SHOES,heel denim ankle boot,blockheel ankle boot denim fabric pleated detail calf point toe heel height cm,Shoes,denim boot denim,denim boot denim heel denim ankle boot,15-20°C mild weather
2090,women,SHOES,split suede loafer buckle,split suede flat loafer metallic buckle detail frontsole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,suede loafer,suede loafer split suede loafer buckle,15-20°C mild weather
