gender,product_category,product_name,details,category_type,combined_features,text,weather_label
women,SHIRTS,poplin shirt,collar vneck shirt long sleeve buttonup,Top,poplin shirt long,poplin shirt long poplin shirt,15-20°C mild weather
women,SHIRTS,poplin shirt,shirt johnny collar long sleeve buttonup,Top,poplin shirt long,poplin shirt long poplin shirt,15-20°C mild weather
women,SHIRTS,cotton blend oxford shirt,shirt cotton blend johnny collar long sleeve asymmetric hem buttonup,Top,cotton oxford shirt long,cotton oxford shirt long cotton blend oxford shirt,15-20°C mild weather
women,SHIRTS,oxford shirt,shirt cotton blend johnny collar long sleeve buttonup,Top,cotton oxford shirt long,cotton oxford shirt long oxford shirt,15-20°C mild weather
women,SHIRTS,stripe oversize shirt,loosefitte shirt feature johnny collar long sleeve cuff chest patch pocket pleated detail buttonup,Top,shirt long,shirt long stripe oversize shirt,15-20°C mild weather
women,SWEATERS_CARDIGANS,wool knit polo sweater,fit sweater extra soft wool feature polo collar long sleeve button fastening,Top,knit wool polo sweater knit sweater long,knit wool polo sweater knit sweater long wool knit polo sweater,15-20°C mild weather
women,SWEATERS_CARDIGANS,cashmere knit sweater,sweater cashmere wool blend round neck long sleeve matching rib trim,Top,cashmere knit wool sweater knit sweater long,cashmere knit wool sweater knit sweater long cashmere knit sweater,15-20°C mild weather
women,SWEATERS_CARDIGANS,crop knit sweater,short sweater round neckline long sleeve,Top,knit short sweater knit sweater crop long short,knit short sweater knit sweater crop long short crop knit sweater,15-20°C mild weather
women,SWEATERS_CARDIGANS,basic high neck knit sweater,sweater feature high neck long sleeve decorative metal button rib trim,Top,knit sweater knit sweater long,knit sweater knit sweater long basic high neck knit sweater,15-20°C mild weather
women,WAISTCOATS_GILETS,short tailor waistcoat,vneck waistcoat feature false welt pocket button fasten,Top,short waistcoat short,short waistcoat short short tailor waistcoat,10-15°C cool weather
women,BLAZERS,doublebreaste oversized blazer,loosefitte blazer feature lapel collar long sleeve pronounce shoulder flap pocket doublebreaste button fastening,Top,blazer lapel long,blazer lapel long doublebreaste oversized blazer,15-20°C mild weather
women,SHIRTS,oversized shirt,loosefitte collared shirt feature long sleeve cuff chest patch pocket pleated detail buttonup fasten,Top,shirt long,shirt long oversized shirt,10-15°C cool weather
women,JACKETS,faux leather jacket,jacket lapel collar long sleeve feature pocket metal zip shoulder tab belt fabric buckle metal zipup fastening,Top,faux leather belt jacket lapel long,faux leather belt jacket lapel long faux leather jacket,15-20°C mild weather
