product_id,product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
3,[{'https://static.zara.net/photos///2022/I/2/1/p/4140/503/250/2/w/448/4140503250_6_1_1.jpg?ts=1661418123738': 'Image 0 of FACE BRUSH #3 from Zara'}],women,SHOES,face brush,small face brush application powder cream liquid localise area round precise shape ideal apply highlighter blend brush,Shoes,other,other,other,other,,This is a face brush made of other with other coverage.,mild weather
4,[],women,SHOES,face brush,design apply powder cream product perfect blush facial powder round compact shape allow modulate coverage reach intense finish,Shoes,other,other,other,other,,This is a face brush made of other with other coverage.,mild weather
7,[{'https://static.zara.net/photos///2022/I/2/1/p/4140/505/250/2/w/448/4140505250_6_1_1.jpg?ts=1661418125427': 'Image 0 of EYE BRUSH #2 from Zara'}],women,SHOES,eye brush,compact flat eye brush specially design apply eye shadow evenly,Shoes,other,other,other,other,,This is a eye brush made of other with other coverage.,mild weather
10,[],women,SHOES,face brush,round makeup brush ideal uniform application compact loose powder easy use pleasant allow achieve lightweight flexible coverage,Shoes,other,other,lightweight,other,lightweight,This is a face brush made of other with other coverage.,mild weather
11,[],women,SHOES,eyeliner,eyeliner ultrathin intensely pigment tip glide smoothly offer uniform finishthe formula design draw precise line longlaste finish waterresistant easy removeview,Shoes,other,other,other,other,,This is a eyeliner made of other with other coverage.,mild weather
15,[],women,SHOES,nail set,set nail art brush compose multifunctional brush ideal easy design touch pointer spherical head maximum accuracy,Shoes,other,other,other,other,,This is a nail set made of other with other coverage.,mild weather
1305,"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/231/805/12/w/448/4548231805_1_1_1.jpg?ts=1689939817034': 'Image 0 of NECKLACE WITH RESIN PIECES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/231/805/2/w/448/4548231805_6_1_1.jpg?ts=1689090995036': 'Image 1 of NECKLACE WITH RESIN PIECES from Zara'}]",women,SHOES,necklace resin piece,denim necklace transparent resin piece,Shoes,denim,denim necklace,other,other,denim denim necklace,This is a necklace resin piece made of denim with other coverage. It is suitable for mild or cool weather.,mild weather
1421,"[{'https://static.zara.net/photos///2023/I/1/1/p/1502/210/800/2/w/448/1502210800_1_1_1.jpg?ts=1691591567982': 'Image 0 of BALLET FLATS WITH BUCKLES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1502/210/800/2/w/448/1502210800_6_1_1.jpg?ts=1691653154327': 'Image 1 of BALLET FLATS WITH BUCKLES from Zara'}]",women,SHOES,ballet flat buckle,ballet flat buckle strap instep round toesole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,other,other,other,,This is a ballet flat buckle made of other with other coverage.,mild weather
1432,"[{'https://static.zara.net/photos///2023/I/1/1/p/1511/210/800/2/w/448/1511210800_1_1_1.jpg?ts=1689674130303': 'Image 0 of FLAT LEATHER CAGE SANDALS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1511/210/800/2/w/448/1511210800_2_1_1.jpg?ts=1689674127417': 'Image 1 of FLAT LEATHER CAGE SANDALS from Zara'}]",women,SHOES,flat leather cage sandal,flat leather cage sandal wide strap buckle ankle strap fasteningsole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather,sandal,other,other,leather sandal,This is a flat leather cage sandal made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
1442,"[{'https://static.zara.net/photos///2023/I/1/1/p/2517/110/105/2/w/448/2517110105_1_1_1.jpg?ts=1690189294500': 'Image 0 of LEATHER MULE LOAFERS WITH BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2517/110/105/2/w/448/2517110105_2_1_1.jpg?ts=1690189295675': 'Image 1 of LEATHER MULE LOAFERS WITH BUCKLE from Zara'}]",women,SHOES,leather mule loafer buckle,leather flat mule loafer metallic buckle detail sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather,loafer mule,other,other,leather loafer mule,This is a leather mule loafer buckle made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
