product_id,product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
5,[{'https://static.zara.net/photos///2022/V/2/1/p/4140/509/250/2/w/448/4140509250_6_1_1.jpg?ts=1647362350884': 'Image 0 of KABUKI BRUSH from Zara'}],women,TOPS_BODYSUITS,kabuki brush,short smooth densebristle brush ideal apply foundation provide optimum coverage immediately,Top,other,short,other,short,short short,This is a kabuki brush made of other with short coverage.,mild weather
12,[],women,JACKETS,coat nail varnish,quickdrye coat highlight colour nail ensure durability,Top,other,coat,other,other,coat,This is a coat nail varnish made of other with other coverage.,warm weather
13,[],women,TOPS_BODYSUITS,nail polish,superior wear naturally highperformance formula contain large percentage natural ingredient last long traditional nail varnishformula high percentage natural ingredient precision brush allow apply product total ease available versatile trendy tone matte pearly glitter finishesview,Top,other,other,other,long,long,This is a nail polish made of other with long coverage. It is suitable for mild or cool weather.,mild weather
14,[],women,TOPS_BODYSUITS,find,find,Top,other,other,other,other,,This is a find made of other with other coverage.,mild weather
16,[],women,TOPS_BODYSUITS,concealer,creamy luscious formula easy blend buildable mediumcoverage product feature satin finish provide luminous glow available shade perfectly complement foundation,Top,satin,other,other,other,satin,This is a concealer made of satin with other coverage.,mild weather
77,[],women,SHIRTS,poplin shirt,collar vneck shirt long sleeve buttonup,Top,poplin,shirt,other,long,poplin shirt long,This is a poplin shirt made of poplin with long coverage. It is suitable for mild or cool weather.,mild weather
78,[],women,SHIRTS,poplin shirt,shirt johnny collar long sleeve buttonup,Top,poplin,shirt,other,long,poplin shirt long,This is a poplin shirt made of poplin with long coverage. It is suitable for mild or cool weather.,mild weather
79,[],women,SHIRTS,cotton blend oxford shirt,shirt cotton blend johnny collar long sleeve asymmetric hem buttonup,Top,cotton,oxford shirt,other,long,cotton oxford shirt long,This is a cotton blend oxford shirt made of cotton with long coverage. It is suitable for mild or cool weather.,mild weather
80,[],women,SHIRTS,oxford shirt,shirt cotton blend johnny collar long sleeve buttonup,Top,cotton,oxford shirt,other,long,cotton oxford shirt long,This is a oxford shirt made of cotton with long coverage. It is suitable for mild or cool weather.,mild weather
81,[],women,SHIRTS,stripe oversize shirt,loosefitte shirt feature johnny collar long sleeve cuff chest patch pocket pleated detail buttonup,Top,other,shirt,other,long,shirt long,This is a stripe oversize shirt made of other with long coverage. It is suitable for mild or cool weather.,mild weather
84,[],women,SWEATERS_CARDIGANS,wool knit polo sweater,fit sweater extra soft wool feature polo collar long sleeve button fastening,Top,knit wool,polo sweater,knit sweater,long,knit wool polo sweater knit sweater long,This is a wool knit polo sweater made of knit wool with long coverage. It is suitable for cold weather.,cold weather
85,[],women,SWEATERS_CARDIGANS,cashmere knit sweater,sweater cashmere wool blend round neck long sleeve matching rib trim,Top,cashmere knit wool,sweater,knit sweater,long,cashmere knit wool sweater knit sweater long,This is a cashmere knit sweater made of cashmere knit wool with long coverage. It is suitable for cold weather.,cold weather
86,[],women,SWEATERS_CARDIGANS,crop knit sweater,short sweater round neckline long sleeve,Top,knit,short sweater,knit sweater,crop long short,knit short sweater knit sweater crop long short,This is a crop knit sweater made of knit with crop long short coverage. It is suitable for cold weather.,cold weather
87,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_1_1_1.jpg?ts=1693219160353': 'Image 0 of BASIC HIGH NECK KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_2_1_1.jpg?ts=1693219160248': 'Image 1 of BASIC HIGH NECK KNIT SWEATER from Zara'}]",women,SWEATERS_CARDIGANS,basic high neck knit sweater,sweater feature high neck long sleeve decorative metal button rib trim,Top,knit,sweater,knit sweater,long,knit sweater knit sweater long,This is a basic high neck knit sweater made of knit with long coverage. It is suitable for cold weather.,cold weather
89,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_1_1_1.jpg?ts=1693208680604': 'Image 0 of SHORT TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_2_1_1.jpg?ts=1693208681036': 'Image 1 of SHORT TAILORED WAISTCOAT from Zara'}]",women,WAISTCOATS_GILETS,short tailor waistcoat,vneck waistcoat feature false welt pocket button fasten,Top,other,short waistcoat,other,short,short waistcoat short,This is a short tailor waistcoat made of other with short coverage.,cold weather
90,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/332/803/2/w/448/2753332803_1_1_1.jpg?ts=1692203340480': 'Image 0 of DOUBLE-BREASTED OVERSIZED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/132/803/2/w/448/2753132803_2_1_1.jpg?ts=1692700012053': 'Image 1 of DOUBLE-BREASTED OVERSIZED BLAZER from Zara'}]",women,BLAZERS,doublebreaste oversized blazer,loosefitte blazer feature lapel collar long sleeve pronounce shoulder flap pocket doublebreaste button fastening,Top,other,blazer lapel,other,long,blazer lapel long,This is a doublebreaste oversized blazer made of other with long coverage. It is suitable for mild or cool weather.,mild weather
